SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
124,Abu Umaima,SULTANPUR,IND,0,Graduate Professional,"Rs 26,16,000","Rs 0, "
125,Abubakar Rahmani,MADHUBANI,IND,0,Post Graduate,"Rs 7,57,606","Rs 0, "
126,Abul Kalam Khan,SHEOHAR,IND,0,8th Pass,"Rs 65,33,000","Rs 10,78,000, "
127,Abul Kashem Dhali,BASIRHAT,BSP,0,12th Pass,"Rs 9,33,811","Rs 0, "
128,Abusalim Arunhuq Shank,MUMBAI NORTH WEST,Rashtriya Ulama Council,0,10th Pass,"Rs 2,64,600","Rs 0, "
129,Abushad,GHOSI,Akhand Samaj Party,0,Literate,"Rs 3,71,500","Rs 0, "
130,Acche Lal Kushawaha,SATNA,BSP,,8th Pass,"Rs 2,48,46,270","Rs 7,46,000, "
131,Acharya Pramod Krishnam,LUCKNOW,INC,0,Post Graduate,"Rs 4,97,65,383","Rs 0, "
132,Achyutananda Samanta,KANDHAMAL,BJD,0,Doctorate,"Rs 12,44,722","Rs 0, "
133,Ad. Karande Manisha Manohar,SOLAPUR,IND,0,Graduate Professional,"Rs 20,000","Rs 0, "
134,Ad. Vikram Uttam Kasabe,SOLAPUR,IND,0,Post Graduate,"Rs 99,924","Rs 0, "
135,Adagal Rajendra,BAGALKOT,Bahujan Mukti Party,0,12th Pass,"Rs 18,58,950","Rs 8,50,000, "
136,Adakmol Rohidas Ramesh,RAVER,Ambedkarite Party of India,0,12th Pass,"Rs 2,26,000","Rs 0, "
137,Adala Prabhakara Reddy,NELLORE,YSRCP,0,12th Pass,"Rs 2,21,16,63,364","Rs 15,22,81,255, "
138,Adari Anand Kumar,ANAKAPALLE,TDP,0,10th Pass,"Rs 41,05,47,212","Rs 20,55,91,400, "
139,Adesh Tyagi,MIRZAPUR,Bharat Prabhat Party,0,Graduate,"Rs 2,46,45,000","Rs 0, "
140,Adhik Sampat Channe,SANGLI,IND,,Graduate,"Rs 6,65,000","Rs 0, "
141,Adhikary Paresh Chandra,COOCH BEHAR,AITC,0,12th Pass,"Rs 4,17,75,148","Rs 41,20,964, "
142,Adhir Ranjan Chowdhury,BAHARAMPUR,INC,,10th Pass,"Rs 10,13,15,437","Rs 85,06,984, "
143,Adinarayana Inty,NANDYAL,BJP,,Post Graduate,"Rs 3,38,85,898","Rs 44,79,155, "
144,Adiraju Yedla,VIZIANAGARAM,INC,0,Post Graduate,"Rs 4,72,14,000","Rs 30,88,876, "
145,Aditi,NORTH WEST DELHI,IND,,Graduate,"Rs 18,505","Rs 0, "
146,Aditya Kumar Naveen,SOUTH DELHI,Hum Bhartiya Party,0,12th Pass,"Rs 20,44,023","Rs 0, "
147,Aditya Pradhan,NAWADA,Peoples Party of India (Democratic),0,Post Graduate,"Rs 34,06,595","Rs 1,63,050, "
148,Admala Mahipal Reddy,NIZAMABAD,IND,0,12th Pass,"Rs 16,20,000","Rs 1,00,000, "
149,Adoor Prakash,ATTINGAL,INC,,Graduate Professional,"Rs 14,40,98,612","Rs 2,76,22,685, "
150,Adv Narendra Sawaikar,SOUTH GOA,BJP,0,Graduate Professional,"Rs 1,45,26,550","Rs 0, "
151,Adv. Amolik Govind Baburao,SHIRDI,IND,0,Graduate Professional,"Rs 24,19,200","Rs 4,00,000, "
152,Adv. Basheer Alady,KASARAGOD,BSP,0,Post Graduate,"Rs 14,38,476","Rs 0, "
153,Adv. Bhaskar Marotrao Neware,WARDHA,IND,0,Post Graduate,"Rs 1,35,345","Rs 0, "
154,Adv. K. C. Padavi,NANDURBAR,INC,0,Post Graduate,"Rs 4,52,36,068","Rs 32,37,933, "
155,Adv. K.C. Nazeer,PONNANI,SDPI,,Graduate Professional,"Rs 29,85,000","Rs 0, "
156,Adv. Kokate Manikrao Shivajirao,NASHIK,IND,,Graduate Professional,"Rs 21,44,14,506","Rs 4,67,37,153, "
157,Adv. Kumar Devba Kalel Patil,PUNE,IND,0,Graduate Professional,"Rs 3,06,000","Rs 4,32,900, "
158,Adv. Mahendra Tulshiram Bhingardive,MUMBAI SOUTH CENTRAL,Anti Corruption Dynamic Party,0,Graduate Professional,"Rs 1,25,10,000","Rs 8,50,000, "
159,Adv. Mahesh Gajendragadkar,PUNE,Swarna Bharat Party,0,Post Graduate,"Rs 1,64,57,070","Rs 94,000, "
160,Adv. Ramesh Devaram Dharmavat,PUNE,People’s Union Party,0,Graduate Professional,"Rs 23,78,25,757","Rs 0, "
161,Adv. Sachin Bhaskar Jore,MADHA,IND,,Others,"Rs 56,26,000","Rs 15,65,000, "
162,Adv. Sahil Shah,MUMBAI SOUTH,Bhartiya Manavadhikaar Federal Party,0,Graduate Professional,"Rs 7,62,030","Rs 0, "
163,Adv. Sanjay Sharad Gangnaik8,RATNAGIRI SINDHUDURG,Samajwadi Forward Bloc,0,Graduate Professional,"Rs 1,18,29,351","Rs 0, "
164,Adv. Sharad Bahinaji Kamble,BEED,IND,0,Post Graduate,"Rs 1,80,000","Rs 0, "
165,Adv. Sreejith P R,WAYANAD,IND,,Graduate Professional,Rs 120,"Rs 4,76,158, "
166,Adv. Ulhas Shalikaram Dupare,NAGPUR,IND,0,Graduate Professional,"Rs 1,46,000","Rs 0, "
167,Adv. Vaibhav Shantaram Ahire,NASHIK,BSP,0,Graduate Professional,"Rs 9,91,506","Rs 0, "
168,Adv. Vijaya Dilip Bagde,NAGPUR,Ambedkarite Party of India,0,Graduate Professional,"Rs 2,18,000","Rs 0, "
169,Adv. Vijayanand Shankarrao Shinde,MADHA,IND,0,Graduate Professional,"Rs 13,50,000","Rs 0, "
170,Adv. Yogesh Dattu Gullapelli,JALNA,IND,0,Post Graduate,"Rs 4,08,188","Rs 0, "
171,Adv.Girish Madan Patil,BARAMATI,IND,0,Graduate,"Rs 5,50,000","Rs 0, "
172,Adv.K.V.Sabu,KOLLAM,BJP,0,Post Graduate,"Rs 2,65,50,000","Rs 64,00,000, "
