SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
112,Deepak Kumar Baij,BASTAR,INC,1,Post Graduate,"Rs 77,21,293","Rs 18,01,236, "
113,Delkar Mohanbhai Sanjibhai,DADRA AND NAGAR HAVELI,IND,,Graduate,"Rs 70,88,85,980","Rs 3,72,68,162, "
114,Devaji Patel,JALORE,BJP,,10th Pass,"Rs 8,83,32,292","Rs 6,09,36,530, "
115,Dhairyashil Sambhajirao Mane,HATKANANGLE,SHS,,Graduate,"Rs 4,77,71,462","Rs 4,15,99,959, "
116,Dhanorkar Suresh Narayan,CHANDRAPUR,INC,5,12th Pass,"Rs 13,74,55,342","Rs 2,27,52,880, "
117,Dhanush M Kumar,TENKASI,DMK,1,Post Graduate,"Rs 5,13,60,700","Rs 28,96,862, "
118,Dharambir Singh,BHIWANI MAHENDRAGARH,BJP,,Graduate,"Rs 6,06,42,205","Rs 2,40,000, "
119,Dharmapuri Arvind,NIZAMABAD,BJP,1,Post Graduate,"Rs 87,69,30,468","Rs 33,75,80,746, "
120,Dharmendra Kumar,AONLA,BJP,,10th Pass,"Rs 2,17,66,502","Rs 33,24,300, "
121,Dibyendu Adhikari,TAMLUK,AITC,1,Graduate,"Rs 3,76,87,867","Rs 83,97,501, "
122,Dileshwar Kamait,SUPAUL,JD(U),2,Graduate,"Rs 2,34,41,606","Rs 0, "
123,Dilip Kumar Ghosh,MEDINIPUR,BJP,14,10th Pass,"Rs 45,36,462","Rs 0, "
124,Dinesh Chandra Yadav,MADHEPURA,JD(U),1,Graduate Professional,"Rs 3,74,20,953","Rs 7,00,000, "
125,Diya Kumari,RAJSAMAND,BJP,,Others,"Rs 16,59,84,623","Rs 0, "
126,Dnv Senthilkumar.S,DHARMAPURI,DMK,1,Post Graduate,"Rs 4,84,77,451","Rs 60,53,502, "
127,Dr Rajkumar Ranjan Singh,INNER MANIPUR,BJP,,Doctorate,"Rs 1,96,16,174","Rs 0, "
128,Dr Ram Shankar Katheria,ETAWAH,BJP,12,Doctorate,"Rs 1,51,54,538","Rs 73,04,616, "
129,Dr Sanjeev Kumar,KURNOOL,YSRCP,,Post Graduate,"Rs 32,59,14,387","Rs 6,20,70,621, "
130,Dr. Alok Kumar Suman,GOPALGANJ,JD(U),,Post Graduate,"Rs 3,27,39,903","Rs 35,76,376, "
131,Dr. Chandra Sen Jadon,FIROZABAD,BJP,,Graduate Professional,"Rs 4,28,72,395","Rs 0, "
132,Dr. Dhal Singh Bisen,BALAGHAT,BJP,,Others,"Rs 8,86,48,133","Rs 15,30,693, "
133,Dr. Jitendra Singh,UDHAMPUR,BJP,,Post Graduate,"Rs 7,08,27,203","Rs 0, "
134,Dr. Kakoli Ghoshdastidar,BARASAT,AITC,2,Post Graduate,"Rs 4,05,31,018","Rs 14,96,059, "
135,Dr. Kalanidhi Veeraswamy,CHENNAI NORTH,DMK,,Post Graduate,"Rs 40,52,94,714","Rs 25,83,86,550, "
136,Dr. Mahendra Nath Pandey,CHANDAULI,BJP,,Doctorate,"Rs 3,33,59,734","Rs 0, "
137,Dr. Mahesh Sharma,GAUTAM BUDDHA NAGAR,BJP,,Graduate Professional,"Rs 47,87,59,568","Rs 4,38,63,749, "
138,Dr. Mohammad Jawed,KISHANGANJ,INC,1,Graduate Professional,"Rs 9,09,73,803","Rs 53,83,958, "
139,Dr. S T Hasan,MORADABAD,SP,,Post Graduate,"Rs 5,57,95,546","Rs 5,00,000, "
